provincias;grupo_edad;sexo;poblacion_total
02 Albacete;De 0 a 4 años;Hombres;7.388
02 Albacete;De 0 a 4 años;Mujeres;6.764
02 Albacete;De 5 a 9 años;Hombres;8.883
02 Albacete;De 5 a 9 años;Mujeres;8.178
02 Albacete;De 10 a 14 años  ;Hombres;9.876
02 Albacete;De 10 a 14 años  ;Mujeres;9.280
02 Albacete;De 15 a 19 años  ;Hombres;9.632
02 Albacete;De 15 a 19 años  ;Mujeres;9.191
02 Albacete;De 20 a 24 años;Hombres;9.903
02 Albacete;De 20 a 24 años;Mujeres;9.273
02 Albacete;De 25 a 29 años;Hombres;10.013
02 Albacete;De 25 a 29 años;Mujeres;9.262
02 Albacete;De 30 a 34 años;Hombres;10.234
02 Albacete;De 30 a 34 años;Mujeres;9.574
02 Albacete;De 35 a 39 años;Hombres;11.583
02 Albacete;De 35 a 39 años;Mujeres;10.835
02 Albacete;De 40 a 44 años;Hombres;13.977
02 Albacete;De 40 a 44 años;Mujeres;13.364
02 Albacete;De 45 a 49 años;Hombres;14.350
02 Albacete;De 45 a 49 años;Mujeres;13.981
02 Albacete;De 50 a 54 años;Hombres;14.672
02 Albacete;De 50 a 54 años;Mujeres;14.707
02 Albacete;De 55 a 59 años;Hombres;14.397
02 Albacete;De 55 a 59 años;Mujeres;14.226
02 Albacete;De 60 a 64 años;Hombres;11.859
02 Albacete;De 60 a 64 años;Mujeres;11.846
02 Albacete;De 65 a 69 años;Hombres;8.841
02 Albacete;De 65 a 69 años;Mujeres;9.380
02 Albacete;De 70 a 74 años  ;Hombres;7.734
02 Albacete;De 70 a 74 años  ;Mujeres;8.636
02 Albacete;De 75 a 79 años  ;Hombres;6.331
02 Albacete;De 75 a 79 años  ;Mujeres;7.800
02 Albacete;De 80 a 84 años  ;Hombres;4.852
02 Albacete;De 80 a 84 años  ;Mujeres;6.593
02 Albacete;De 85 a 89 años  ;Hombres;3.460
02 Albacete;De 85 a 89 años  ;Mujeres;5.265
02 Albacete;90 y más años;Hombres;1.705
02 Albacete;90 y más años;Mujeres;3.114
03 Alicante/Alacant;De 0 a 4 años;Hombres;31.769
03 Alicante/Alacant;De 0 a 4 años;Mujeres;29.532
03 Alicante/Alacant;De 5 a 9 años;Hombres;37.951
03 Alicante/Alacant;De 5 a 9 años;Mujeres;35.587
03 Alicante/Alacant;De 10 a 14 años  ;Hombres;43.659
03 Alicante/Alacant;De 10 a 14 años  ;Mujeres;41.089
03 Alicante/Alacant;De 15 a 19 años  ;Hombres;42.327
03 Alicante/Alacant;De 15 a 19 años  ;Mujeres;39.531
03 Alicante/Alacant;De 20 a 24 años;Hombres;38.470
03 Alicante/Alacant;De 20 a 24 años;Mujeres;36.339
03 Alicante/Alacant;De 25 a 29 años;Hombres;38.450
03 Alicante/Alacant;De 25 a 29 años;Mujeres;36.040
03 Alicante/Alacant;De 30 a 34 años;Hombres;41.498
03 Alicante/Alacant;De 30 a 34 años;Mujeres;39.577
03 Alicante/Alacant;De 35 a 39 años;Hombres;49.530
03 Alicante/Alacant;De 35 a 39 años;Mujeres;48.106
03 Alicante/Alacant;De 40 a 44 años;Hombres;62.453
03 Alicante/Alacant;De 40 a 44 años;Mujeres;59.952
03 Alicante/Alacant;De 45 a 49 años;Hombres;62.787
03 Alicante/Alacant;De 45 a 49 años;Mujeres;61.022
03 Alicante/Alacant;De 50 a 54 años;Hombres;59.384
03 Alicante/Alacant;De 50 a 54 años;Mujeres;59.559
03 Alicante/Alacant;De 55 a 59 años;Hombres;55.053
03 Alicante/Alacant;De 55 a 59 años;Mujeres;56.246
03 Alicante/Alacant;De 60 a 64 años;Hombres;47.207
03 Alicante/Alacant;De 60 a 64 años;Mujeres;49.998
03 Alicante/Alacant;De 65 a 69 años;Hombres;38.655
03 Alicante/Alacant;De 65 a 69 años;Mujeres;42.216
03 Alicante/Alacant;De 70 a 74 años  ;Hombres;33.121
03 Alicante/Alacant;De 70 a 74 años  ;Mujeres;38.457
03 Alicante/Alacant;De 75 a 79 años  ;Hombres;25.549
03 Alicante/Alacant;De 75 a 79 años  ;Mujeres;31.693
03 Alicante/Alacant;De 80 a 84 años  ;Hombres;17.282
03 Alicante/Alacant;De 80 a 84 años  ;Mujeres;24.712
03 Alicante/Alacant;De 85 a 89 años  ;Hombres;11.210
03 Alicante/Alacant;De 85 a 89 años  ;Mujeres;18.774
03 Alicante/Alacant;90 y más años;Hombres;4.999
03 Alicante/Alacant;90 y más años;Mujeres;10.913
04 Almería;De 0 a 4 años;Hombres;14.124
04 Almería;De 0 a 4 años;Mujeres;13.464
04 Almería;De 5 a 9 años;Hombres;16.822
04 Almería;De 5 a 9 años;Mujeres;15.692
04 Almería;De 10 a 14 años  ;Hombres;18.491
04 Almería;De 10 a 14 años  ;Mujeres;17.434
04 Almería;De 15 a 19 años  ;Hombres;16.616
04 Almería;De 15 a 19 años  ;Mujeres;15.833
04 Almería;De 20 a 24 años;Hombres;15.618
04 Almería;De 20 a 24 años;Mujeres;14.784
04 Almería;De 25 a 29 años;Hombres;16.122
04 Almería;De 25 a 29 años;Mujeres;15.212
04 Almería;De 30 a 34 años;Hombres;17.875
04 Almería;De 30 a 34 años;Mujeres;16.687
04 Almería;De 35 a 39 años;Hombres;20.255
04 Almería;De 35 a 39 años;Mujeres;19.752
04 Almería;De 40 a 44 años;Hombres;23.924
04 Almería;De 40 a 44 años;Mujeres;22.948
04 Almería;De 45 a 49 años;Hombres;23.066
04 Almería;De 45 a 49 años;Mujeres;22.662
04 Almería;De 50 a 54 años;Hombres;22.169
04 Almería;De 50 a 54 años;Mujeres;22.072
04 Almería;De 55 a 59 años;Hombres;20.202
