codigo_iso;nombre_provincia
ES-C;A Coruña
ES-AB;Albacete
ES-A;Alicante/Alacant
ES-AL;Almería
ES-O;Asturias
ES-BA;Badajoz
ES-B;Barcelona
ES-BI;Bizkaia
ES-BU;Burgos
ES-S;Cantabria
ES-CS;Castellón/Castelló
ES-CR;Ciudad Real
ES-CU;Cuenca
ES-CC;Cáceres
ES-CA;Cádiz
ES-CO;Córdoba
ES-SS;Gipuzkoa
ES-GI;Girona 
ES-GR;Granada
ES-GU;Guadalajara
ES-H;Huelva
ES-HU;Huesca
ES-PM;Illes Balears
ES-J;Jaén
ES-LO;La Rioja
ES-GC;Las Palmas
ES-LE;León
ES-L;Lleida
ES-LU;Lugo
ES-M;Madrid
ES-MU;Murcia
ES-MA;Málaga
ES-NA;Navarra
ES-OR;Ourense
ES-P;Palencia
ES-PO;Pontevedra
ES-SA;Salamanca
ES-TF;Santa Cruz de Tenerife
ES-SG;Segovia
ES-SE;Sevilla
ES-SO;Soria
ES-T;Tarragona
ES-TE;Teruel
ES-TO;Toledo
ES-V;Valencia/València
ES-VA;Valladolid
ES-ZA;Zamora
ES-Z;Zaragoza
ES-VI;Álava/Araba
ES-AV;Ávila
ES-CE;Ceuta
ES-ML;Melilla
