sexo,cpro,grupo_edad,poblacion_total,poblacion_agregada,porcentaje
Hombres,1,0-9,14.076,149.174,9.435960690200705
Hombres,1,10-19,15.100999999999999,149.174,10.123077748133051
Hombres,1,20-29,12.443000000000001,149.174,8.341265904246049
Hombres,1,30-39,16.585,149.174,11.117889176398032
Hombres,1,40-49,25.571,149.174,17.141727110622497
Hombres,1,50-59,23.826999999999998,149.174,15.972622574979553
Hombres,1,60-69,19.063000000000002,149.174,12.779036561331065
Hombres,1,70-79,14.437999999999999,149.174,9.67863032431925
Hombres,1,80+,8.07,149.174,5.409789909769799
Mujeres,1,0-9,13.061,153.673,8.499215867458824
Mujeres,1,10-19,14.076,153.673,9.159709252763987
Mujeres,1,20-29,11.984,153.673,7.798377073396106
Mujeres,1,30-39,16.163,153.673,10.517787770135287
Mujeres,1,40-49,24.491,153.673,15.937087191634184
Mujeres,1,50-59,24.104,153.673,15.685253753099113
Mujeres,1,60-69,20.472,153.673,13.321793678785474
Mujeres,1,70-79,16.17,153.673,10.522342896930496
Mujeres,1,80+,13.152,153.673,8.558432515796529
Hombres,2,0-9,16.271,179.69,9.055039234236743
Hombres,2,10-19,19.508,179.69,10.856475040347265
Hombres,2,20-29,19.915999999999997,179.69,11.083532750848683
Hombres,2,30-39,21.817,179.69,12.141465857866326
Hombres,2,40-49,28.326999999999998,179.69,15.764371973955143
Hombres,2,50-59,29.069000000000003,179.69,16.177305359229784
Hombres,2,60-69,20.700000000000003,179.69,11.51983972396906
Hombres,2,70-79,14.065000000000001,179.69,7.827369358339363
Hombres,2,80+,10.017000000000001,179.69,5.574600701207636
Mujeres,2,0-9,14.941999999999998,181.269,8.242997975384649
Mujeres,2,10-19,18.471,181.269,10.189828376611555
Mujeres,2,20-29,18.535,181.269,10.225135020328903
Mujeres,2,30-39,20.409,181.269,11.258957681677506
Mujeres,2,40-49,27.345,181.269,15.085315194545124
Mujeres,2,50-59,28.933,181.269,15.961361291781825
Mujeres,2,60-69,21.226,181.269,11.70966905538178
Mujeres,2,70-79,16.436,181.269,9.067187439661497
Mujeres,2,80+,14.972000000000001,181.269,8.259547964627156
Hombres,3,0-9,69.72,741.3539999999999,9.40441408557855
Hombres,3,10-19,85.98599999999999,741.3539999999999,11.598507595561633
Hombres,3,20-29,76.92,741.3539999999999,10.375610032454134
Hombres,3,30-39,91.028,741.3539999999999,12.278614535026454
Hombres,3,40-49,125.24000000000001,741.3539999999999,16.893413942596926
Hombres,3,50-59,114.437,741.3539999999999,15.436215357305688
Hombres,3,60-69,85.862,741.3539999999999,11.581781443143223
Hombres,3,70-79,58.67,741.3539999999999,7.913898083776442
Hombres,3,80+,33.491,741.3539999999999,4.51754492455696
Mujeres,3,0-9,65.119,759.3429999999998,8.575702943202216
Mujeres,3,10-19,80.62,759.3429999999998,10.617072916982183
Mujeres,3,20-29,72.37899999999999,759.3429999999998,9.531792615458363
Mujeres,3,30-39,87.68299999999999,759.3429999999998,11.547219109150939
Mujeres,3,40-49,120.97399999999999,759.3429999999998,15.93140385833543
Mujeres,3,50-59,115.805,759.3429999999998,15.250683814824134
Mujeres,3,60-69,92.214,759.3429999999998,12.14391915116094
Mujeres,3,70-79,70.15,759.3429999999998,9.23824938137311
Mujeres,3,80+,54.399,759.3429999999998,7.163956209512699
Hombres,4,0-9,30.945999999999998,285.158,10.852229290428463
Hombres,4,10-19,35.107,285.158,12.31142033539301
Hombres,4,20-29,31.740000000000002,285.158,11.130671417249385
Hombres,4,30-39,38.129999999999995,285.158,13.371534377432859
Hombres,4,40-49,46.989999999999995,285.158,16.478583802663785
Hombres,4,50-59,42.371,285.158,14.858780044747121
Hombres,4,60-69,30.933999999999997,285.158,10.848021097076005
Hombres,4,70-79,18.576999999999998,285.158,6.514633992383169
Hombres,4,80+,10.363,285.158,3.634125642626193
Mujeres,4,0-9,29.156,288.054,10.12171328986926
Mujeres,4,10-19,33.267,288.054,11.54887625236935
Mujeres,4,20-29,29.996000000000002,288.054,10.413325279287914
Mujeres,4,30-39,36.439,288.054,12.650058669555014
Mujeres,4,40-49,45.61,288.054,15.83383671117221
Mujeres,4,50-59,42.563,288.054,14.776048935269085
Mujeres,4,60-69,31.876,288.054,11.065980684177273
Mujeres,4,70-79,22.11,288.054,7.675644150055199
Mujeres,4,80+,17.037000000000003,288.054,5.914516028244705
Hombres,5,0-9,5.33,73.099,7.29148141561444
Hombres,5,10-19,6.659,73.099,9.109563742322056
Hombres,5,20-29,6.537000000000001,73.099,8.942666794347392
Hombres,5,30-39,7.404,73.099,10.128729531183737
Hombres,5,40-49,10.518,73.099,14.388705727848533
Hombres,5,50-59,12.195999999999998,73.099,16.68422276638531
Hombres,5,60-69,10.746,73.099,14.700611499473318
Hombres,5,70-79,7.603,73.099,10.40096307747028
Hombres,5,80+,6.106,73.099,8.35305544535493
Mujeres,5,0-9,4.864,71.911,6.763916507905606
Mujeres,5,10-19,6.1819999999999995,71.911,8.59673763401983
Mujeres,5,20-29,5.905,71.911,8.211539263812211
